Supervisor,País,Receita EUD,Receita Total
Gawen,United States,$483.64,$9972.54
Biron,Brazil,$814.72,$8361.66
Ian,Israel,$495.53,$4174.38
Torrence,China,$601.05,$1296.91
Rodi,Russia,$748.85,$7593.74
Georgi,France,$170.75,$4521.34
Glyn,Cameroon,$619.42,$9981.51
Randee,Indonesia,$965.19,$6662.46
Trudie,Brazil,$984.39,$8585.23
Daune,China,$352.70,$9188.99
Becka,Peru,$384.03,$8387.74
Hersch,Brazil,$90.70,$9138.78
Sari,Russia,$255.88,$8605.17
Carlotta,Philippines,$420.78,$3553.72
Lemar,Indonesia,$718.26,$5705.46
Gerianne,Serbia,$442.09,$5334.61
Bing,Honduras,$61.02,$7977.11
Rica,China,$159.69,$3593.70
Lanita,Indonesia,$32.81,$3327.86
Carlynn,China,$116.00,$6977.98
Leontine,Thailand,$466.89,$9308.66
Magdalene,Tanzania,$332.85,$9167.65
Charil,Kazakhstan,$425.23,$3341.44
Devora,Jamaica,$753.07,$8664.81
Corabel,Russia,$772.24,$3382.19
Griff,Russia,$731.69,$9974.18
Derward,Brazil,$385.59,$1278.36
Hannah,Pakistan,$585.65,$5005.45
Orrin,China,$659.92,$8692.27
Christa,Indonesia,$661.26,$7144.20
Enid,Brazil,$95.07,$4601.71
Fanya,Tajikistan,$567.71,$9725.32
Ashlen,Poland,$554.58,$4577.79
Regine,Russia,$271.40,$2708.12
Glynn,France,$45.42,$7904.60
Fleurette,Yemen,$880.39,$8070.52
Robin,Poland,$338.75,$8287.09
Trever,Greece,$878.31,$9421.27
Hollyanne,Argentina,$662.52,$3531.79
Gregoire,China,$194.35,$3574.52
Shir,China,$336.46,$2995.30
Billy,Zambia,$241.95,$4223.25
Jeane,France,$844.74,$9540.23
Billie,Brazil,$41.65,$1564.44
Maximilian,Czech Republic,$676.81,$6853.25
Aimee,Yemen,$485.69,$7692.63
Alex,China,$12.42,$2667.43
Zitella,Venezuela,$378.09,$4991.96
Melisent,China,$184.23,$1420.09
Cornelius,Indonesia,$944.09,$6167.02
Findlay,China,$517.79,$8387.58
Rolland,Philippines,$941.25,$4815.38
Netti,China,$106.69,$5780.14
Berty,Indonesia,$647.67,$4261.81
Adi,Philippines,$372.36,$5277.46
Loy,Czech Republic,$224.98,$4948.25
Noelani,Peru,$677.54,$1340.75
Dottie,Mauritania,$186.22,$9029.22
Lanni,Niger,$492.81,$6379.74
Haze,United States,$980.96,$2101.94
Cirillo,Ecuador,$675.62,$1405.40
Aimee,Indonesia,$334.61,$5787.36
Celinda,Bulgaria,$206.93,$1968.41
Meryl,China,$776.03,$2318.75
Valaree,Poland,$927.47,$4874.85
Nick,Brazil,$711.47,$1212.14
Padgett,Nepal,$587.34,$7686.02
Ase,Indonesia,$456.09,$3463.46
Boothe,Indonesia,$701.43,$2778.33
Etan,Djibouti,$860.11,$6935.24
Nanon,Colombia,$617.33,$8836.61
Saundra,France,$939.47,$8144.69
Carrol,France,$870.77,$9029.17
Katya,Peru,$989.51,$8621.71
Chancey,Ireland,$682.32,$9960.93
Aggi,China,$627.01,$4786.68
Carrie,Canada,$714.18,$6587.59
Matty,Argentina,$208.95,$2440.73
Gunner,China,$114.71,$2001.30
Hana,Brazil,$571.72,$4253.59
Sibyl,Philippines,$185.04,$4438.34
Justino,Comoros,$892.47,$6515.80
Carie,China,$118.55,$2353.70
Esme,Greece,$627.93,$3761.22
Faydra,Poland,$117.48,$2177.26
Philippine,Ethiopia,$18.69,$8267.37
Law,Thailand,$453.50,$8020.23
Evey,Palestinian Territory,$652.97,$8178.70
Cindi,Indonesia,$22.81,$7868.08
Nicolina,Armenia,$723.37,$2636.13
Brewer,Poland,$916.08,$9089.61
Bobbie,Brazil,$331.16,$9334.04
Oates,Tajikistan,$928.93,$8252.33
Dyanna,China,$254.47,$7380.10
Chet,China,$997.92,$8891.60
Laina,Netherlands,$674.33,$7105.11
Ulberto,Indonesia,$227.45,$2419.23
Ruddie,Indonesia,$646.89,$3388.32
Sayre,Antigua and Barbuda,$29.75,$2295.76
Valaree,Kenya,$582.75,$7210.52
Leyla,Argentina,$254.01,$1664.65
Chrysa,Indonesia,$718.72,$4671.66
Jessa,Russia,$122.67,$9975.04
Annetta,Canada,$909.27,$3318.62
Latrina,Indonesia,$381.80,$4999.22
Deanne,Ireland,$936.04,$2064.89
Ransom,Portugal,$168.99,$3597.39
Austin,Russia,$976.93,$2319.02
Corliss,Vietnam,$930.54,$7317.13
Shandeigh,China,$697.79,$1575.42
Maxi,Sierra Leone,$206.33,$5442.16
Hilary,Iraq,$25.76,$2081.44
Kimbra,Portugal,$425.05,$1936.79
Biron,United States,$768.05,$3364.06
Peggie,Italy,$924.76,$7597.08
Wenda,Japan,$355.09,$8286.59
Paulo,Canada,$275.45,$1924.31
Shawna,Morocco,$468.92,$8997.41
Paola,Philippines,$808.15,$1154.05
Rabi,Dominican Republic,$378.07,$3658.62
Annabell,Japan,$134.09,$3217.63
Sasha,Greece,$740.19,$1269.00
Audry,Vietnam,$359.70,$9252.12
Merola,China,$214.21,$8706.78
Christabella,Vietnam,$79.43,$2195.70
Euell,Bangladesh,$119.25,$9241.60
Moira,Russia,$216.47,$1729.67
Rene,Sweden,$903.77,$4933.06
Romy,Paraguay,$599.97,$5470.35
Gardener,United States,$439.46,$7605.23
Basil,Greece,$208.91,$4312.60
Steffane,China,$744.78,$3714.61
Mose,Croatia,$503.73,$8144.42
Jackson,Ireland,$212.02,$3878.68
Emelda,Egypt,$635.20,$3126.34
Beverly,Iran,$773.55,$2286.25
Marvin,Russia,$340.60,$4007.52
Noellyn,Portugal,$402.10,$3849.12
Angy,Azerbaijan,$159.32,$6806.39
Franni,Russia,$144.94,$9940.18
Ethelyn,China,$492.92,$7666.64
Olivero,China,$53.21,$1454.56
Christyna,China,$642.21,$8178.81
Robinette,Philippines,$556.34,$2705.84
Andie,Poland,$975.58,$7973.13
Johannah,Ghana,$775.67,$3415.78
Lindsey,Syria,$700.23,$7614.44
Caterina,Nigeria,$586.60,$5359.49
Avram,China,$780.95,$1586.50
Ford,Slovenia,$266.85,$2003.19
Muire,Sweden,$88.55,$3956.75
Lauralee,China,$616.47,$8500.97
Vernice,China,$548.59,$1465.07
Fayre,Morocco,$35.39,$3271.53
Kare,Albania,$609.65,$2120.14
Brantley,Philippines,$203.63,$2135.03
Gris,Brazil,$109.91,$9766.40
Shelden,Ukraine,$111.70,$6022.67
Peria,Cambodia,$522.68,$7077.14
Donovan,Thailand,$148.82,$4281.54
Fayette,Macedonia,$80.77,$5102.23
Delia,Brazil,$849.39,$9665.80
Noelani,Philippines,$171.05,$1347.60
Aldus,Ivory Coast,$531.65,$7771.64
Jania,Philippines,$383.98,$8178.21
Ashleigh,Sweden,$849.78,$8717.01
Gennifer,China,$603.58,$7576.29
Julie,China,$263.38,$9798.99
Tiffany,Armenia,$589.47,$2149.46
Fannie,Indonesia,$119.95,$1344.78
Sal,Russia,$914.71,$6944.20
Culley,China,$448.08,$2497.68
Rebeca,France,$471.18,$3423.74
Fransisco,Nigeria,$311.85,$5959.46
Kahaleel,Indonesia,$74.58,$7575.67
Gerri,Mexico,$79.97,$8316.19
Rosalyn,Afghanistan,$993.45,$4854.62
Winn,Ukraine,$495.18,$7414.58
Brear,Belarus,$828.27,$6914.02
Eleonore,Thailand,$901.16,$4006.65
Waldon,China,$74.26,$2666.29
Mason,Russia,$980.40,$7119.13
Filmer,Honduras,$341.04,$5503.76
Constantine,China,$124.25,$2847.83
Lorie,Russia,$81.44,$1586.30
Ethelin,France,$84.63,$5833.73
Derry,Poland,$26.11,$5100.99
Rosamund,Madagascar,$62.82,$7484.01
Elle,South Africa,$179.13,$7165.06
Roshelle,Honduras,$467.60,$5719.20
Mitzi,China,$779.76,$7923.92
Lyle,Russia,$628.56,$3047.30
Padgett,China,$553.96,$7997.73
Dolorita,Indonesia,$418.86,$3540.00
Kleon,Indonesia,$571.84,$2885.05
Miguel,China,$536.87,$1867.15
Harley,China,$640.22,$1554.80
Marguerite,China,$980.59,$7520.82
Marmaduke,Argentina,$782.25,$1648.27
Wendy,Brazil,$668.41,$6083.56
Tannie,Russia,$608.25,$6630.21
Cherri,Slovenia,$819.32,$8529.43
Pascal,China,$921.19,$7926.58
Reuben,Egypt,$774.75,$5439.55
Eachelle,Thailand,$397.21,$4044.65
Jacquelin,Belarus,$539.53,$6329.73
Tanner,Iraq,$896.97,$7557.43
Randi,China,$608.87,$4704.85
Fionna,Uzbekistan,$664.95,$4318.64
Rori,United States,$791.30,$4072.64
Ally,New Zealand,$185.03,$8898.45
Electra,Indonesia,$166.70,$9377.13
Kelby,United States,$370.28,$5019.38
Katherina,China,$872.07,$1771.25
Ive,China,$925.77,$9521.03
Patty,Sweden,$797.03,$6073.68
Corey,Russia,$645.82,$7123.36
Maxie,Sweden,$514.23,$7316.85
Velma,China,$472.20,$2619.78
Delores,Philippines,$600.16,$8419.09
Kendrick,Russia,$466.03,$6468.62
Ewan,Colombia,$33.96,$2938.85
Lurlene,Japan,$561.63,$9171.31
Lois,China,$887.03,$4874.94
Hanan,China,$466.32,$6904.62
April,China,$253.90,$5444.18
Ermengarde,Indonesia,$425.79,$3014.99
Rosalinde,Russia,$610.53,$1371.80
Adore,France,$931.00,$6530.22
Isadore,Philippines,$514.74,$1356.39
Wilbert,Germany,$194.60,$3187.15
Phillipp,Russia,$349.71,$7945.78
Maribeth,Philippines,$58.47,$8487.33
Clifford,China,$657.06,$2364.94
Cos,China,$784.39,$5695.65
Koral,Sweden,$812.01,$1275.29
Germayne,Bangladesh,$568.34,$6899.52
Casi,Argentina,$830.39,$2698.02
Stillmann,Greece,$802.18,$3605.47
Alix,Ecuador,$642.87,$8135.38
Ernesto,China,$753.31,$2464.31
Winifield,China,$554.17,$8523.60
Gwendolin,Brazil,$421.24,$6967.87
Janeczka,Greece,$617.59,$5138.12
Delcina,Serbia,$530.85,$6521.55
Clarissa,Czech Republic,$291.46,$6103.70
Kellen,China,$581.05,$4682.57
Nelson,Russia,$237.71,$9560.07
Deanna,United Kingdom,$720.99,$9126.23
Cordy,Zimbabwe,$501.16,$1785.85
Debor,South Korea,$735.32,$3652.01
Dexter,China,$195.24,$3437.50
Emily,Croatia,$542.30,$2223.54
Miner,Brazil,$431.17,$2277.63
Boony,Ukraine,$8.95,$8526.21
Dusty,Croatia,$462.11,$5101.11
Harbert,China,$839.91,$7700.63
Katharyn,Indonesia,$442.85,$6014.75
Anabel,Philippines,$301.11,$1145.62
Brant,Brazil,$174.36,$7298.22
Delcina,Panama,$577.99,$7256.33
Noella,Sweden,$338.39,$4744.93
Revkah,Tanzania,$154.97,$6101.44
Sarajane,Brazil,$762.46,$1036.28
Guthry,Albania,$248.83,$4146.37
Isaak,Russia,$575.25,$9025.21
Guido,Indonesia,$313.96,$8599.35
Karola,Poland,$879.45,$3853.16
Ardella,Russia,$316.09,$7772.09
Myranda,United States,$728.95,$8363.44
Violetta,Brazil,$458.36,$2259.59
Teodoro,Philippines,$500.06,$8909.50
Ludovico,Netherlands,$562.88,$1387.22
Dela,Thailand,$323.13,$1996.47
Sal,Indonesia,$771.30,$1817.62
Jarrod,Aruba,$560.85,$2605.41
Normand,Ukraine,$244.56,$2626.95
Lea,Czech Republic,$623.63,$3397.23
Hogan,Canada,$539.05,$3217.08
Rania,Malaysia,$518.25,$1614.66
Jenn,Lithuania,$370.14,$5773.47
Elbertina,Czech Republic,$658.59,$1096.68
Annabel,Portugal,$528.18,$5743.60
Hewet,China,$115.30,$3411.51
Hazlett,Portugal,$211.16,$9000.96
Fleming,Argentina,$429.63,$6791.81
Rois,Indonesia,$357.35,$6110.82
Reeva,China,$860.71,$7547.10
Carine,Honduras,$721.62,$8233.45
Aigneis,Indonesia,$90.41,$2711.16
Barbi,Brazil,$767.51,$8555.02
Jo ann,Philippines,$762.78,$7617.02
Felicia,Russia,$524.56,$1653.63
Mickey,China,$983.50,$8300.94
Matthew,Venezuela,$896.64,$7853.53
Pennie,Indonesia,$687.93,$7336.13
Yetty,Netherlands,$636.05,$7078.98
Gloria,Indonesia,$814.41,$1681.63
Goldina,Indonesia,$379.42,$7357.75
Mirabella,China,$283.20,$2701.13
Edgard,Bahamas,$688.03,$2049.86
Dell,Bosnia and Herzegovina,$831.41,$9331.76
Tildi,Syria,$555.87,$1662.87
Phillie,Brazil,$772.32,$7228.54
Dar,Poland,$241.73,$2385.01
Tristan,Finland,$340.16,$2097.86
Alister,New Zealand,$461.71,$6222.88
Grayce,Poland,$903.50,$3820.05
Westleigh,Sweden,$484.30,$1094.27
Roshelle,Sweden,$84.38,$3699.21
Cheryl,Indonesia,$428.31,$4698.83
Megen,South Africa,$507.84,$6253.12
Wendell,Thailand,$338.67,$6175.40
Emmalee,Slovenia,$948.29,$1730.37
Olivie,Sweden,$458.44,$8845.25
Edmund,Czech Republic,$619.62,$2787.27
Banky,Togo,$536.24,$4635.83
Natassia,Indonesia,$811.48,$2395.75
